Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0402_1005Metric,31.8375,21.08875,270.0,bottom
C2,1u,C_0402_1005Metric,21.7,30.19875,90.0,bottom
C3,1u,C_0402_1005Metric,26.8,30.5425,90.0,bottom
C4,100n,C_0402_1005Metric,37.5025,31.54875,90.0,bottom
C5,100n,C_0402_1005Metric,30.77,21.08875,270.0,bottom
C6,100n,C_0402_1005Metric,28.47,29.05625,0.0,bottom
C7,100n,C_0402_1005Metric,36.4375,31.54875,90.0,bottom
C8,100n,C_0402_1005Metric,41.53,24.73625,180.0,bottom
C9,1u,C_0402_1005Metric,41.53,23.63625,180.0,bottom
C10,100n,C_0402_1005Metric,61.469023,20.1967,180.0,bottom
C11,220p,C_0402_1005Metric,54.0479,22.26718,270.0,bottom
C12,100n,C_0402_1005Metric,44.604913,25.3917,270.0,bottom
C13,100n,C_0402_1005Metric,-1.4,-5.5,270.0,bottom
D1,PRTR5V0U2X,SOT-143,22.35,27.30625,90.0,bottom
F1,500mA,Fuse_0603_1608Metric,20.3,30.50625,90.0,bottom
J1,JST,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,14.8,27.30625,270.0,bottom
R1,100,R_0402_1005Metric,28.4425,23.74375,180.0,bottom
R2,100,R_0402_1005Metric,34.0525,21.05875,90.0,bottom
R3,100k,R_0402_1005Metric,28.44,26.05625,0.0,bottom
R4,100,R_0402_1005Metric,35.1525,21.05875,90.0,bottom
R5,100,R_0402_1005Metric,28.4425,22.64375,180.0,bottom
R6,10k,R_0402_1005Metric,38.9,24.14625,90.0,bottom
R7,10k,R_0402_1005Metric,34.95,31.12,180.0,bottom
R8,10k,R_0402_1005Metric,32.9375,21.05875,90.0,bottom
R9,100k,R_0402_1005Metric,56.575,-74.58,270.0,bottom
R10,100k,R_0402_1005Metric,35.525,-95.63331,90.0,bottom
R11,100k,R_0402_1005Metric,57.75,-56.39125,270.0,bottom
R12,100k,R_0402_1005Metric,48.46,-57.40625,180.0,bottom
R13,100k,R_0402_1005Metric,3.44,-57.40625,0.0,bottom
R14,100k,R_0402_1005Metric,29.46,-57.40625,180.0,bottom
R15,47k,R_0402_1005Metric,48.914913,27.61452,180.0,bottom
R16,1k,R_0402_1005Metric,50.914913,27.61452,180.0,bottom
R17,330,C_0402_1005Metric,-0.35,-5.5,270.0,bottom
R18,100,R_0402_1005Metric,28.4425,24.84375,180.0,bottom
U1,STM32F401CBUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,33.6875,26.30625,0.0,bottom
U2,XC6206PxxxMR,SOT-23,24.2375,31.0125,0.0,bottom
U3,74HC4051,TSSOP16,58.848628,23.71939,90.0,bottom
U4,OPA350,SOIC-8_3.9x4.9mm_P1.27mm,48.929913,24.2767,0.0,bottom
U5,SN74AHCT1G125,SOT-23-5,65.8525,32.02,180.0,bottom
Y1,8 MHz,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,41.8,27.40625,0.0,bottom
